2018-01-03 09:36:45 status unpacked gparted:amd64 0.18.0-1
2018-01-03 09:36:45 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2018-01-03 09:36:45 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2018-01-03 09:36:45 status installed man-db:amd64 2.6.7.1-1ubuntu1
2018-01-03 09:36:45 trigproc hicolor-icon-theme:all 0.13-1 0.13-1
2018-01-03 09:36:45 status half-configured hicolor-icon-theme:all 0.13-1
2018-01-03 09:36:45 status installed hicolor-icon-theme:all 0.13-1
2018-01-03 09:36:45 trigproc desktop-file-utils:amd64 0.22-1ubuntu1.1 0.22-1ubuntu1.1
2018-01-03 09:36:45 status half-configured desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-03 09:36:45 status installed desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-03 09:36:45 trigproc gnome-menus:amd64 3.10.1-0ubuntu2 3.10.1-0ubuntu2
2018-01-03 09:36:45 status half-configured gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-03 09:36:45 status installed gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-03 09:36:45 trigproc mime-support:all 3.54ubuntu1.1 3.54ubuntu1.1
2018-01-03 09:36:45 status half-configured mime-support:all 3.54ubuntu1.1
2018-01-03 09:36:45 status installed mime-support:all 3.54ubuntu1.1
2018-01-03 09:36:45 startup packages configure
2018-01-03 09:36:45 configure libglibmm-2.4-1c2a:amd64 2.39.93-0ubuntu1 <none>
2018-01-03 09:36:45 status unpacked libglibmm-2.4-1c2a:amd64 2.39.93-0ubuntu1
2018-01-03 09:36:45 status half-configured libglibmm-2.4-1c2a:amd64 2.39.93-0ubuntu1
2018-01-03 09:36:45 status installed libglibmm-2.4-1c2a:amd64 2.39.93-0ubuntu1
2018-01-03 09:36:45 status triggers-pending libc-bin:amd64 2.19-0ubuntu6.13
2018-01-03 09:36:45 configure libatkmm-1.6-1:amd64 2.22.7-2ubuntu1 <none>
2018-01-03 09:36:45 status unpacked libatkmm-1.6-1:amd64 2.22.7-2ubuntu1
2018-01-03 09:36:45 status half-configured libatkmm-1.6-1:amd64 2.22.7-2ubuntu1
2018-01-03 09:36:45 status installed libatkmm-1.6-1:amd64 2.22.7-2ubuntu1
2018-01-03 09:36:45 configure libcairomm-1.0-1:amd64 1.10.0-1ubuntu3 <none>
2018-01-03 09:36:45 status unpacked libcairomm-1.0-1:amd64 1.10.0-1ubuntu3
2018-01-03 09:36:45 status half-configured libcairomm-1.0-1:amd64 1.10.0-1ubuntu3
2018-01-03 09:36:45 status installed libcairomm-1.0-1:amd64 1.10.0-1ubuntu3
2018-01-03 09:36:45 configure libpangomm-1.4-1:amd64 2.34.0-1ubuntu1 <none>
2018-01-03 09:36:45 status unpacked libpangomm-1.4-1:amd64 2.34.0-1ubuntu1
2018-01-03 09:36:45 status half-configured libpangomm-1.4-1:amd64 2.34.0-1ubuntu1
2018-01-03 09:36:45 status installed libpangomm-1.4-1:amd64 2.34.0-1ubuntu1
2018-01-03 09:36:45 configure libgtkmm-2.4-1c2a:amd64 1:2.24.4-1ubuntu1 <none>
2018-01-03 09:36:45 status unpacked libgtkmm-2.4-1c2a:amd64 1:2.24.4-1ubuntu1
2018-01-03 09:36:45 status half-configured libgtkmm-2.4-1c2a:amd64 1:2.24.4-1ubuntu1
2018-01-03 09:36:45 status installed libgtkmm-2.4-1c2a:amd64 1:2.24.4-1ubuntu1
2018-01-03 09:36:45 configure gparted:amd64 0.18.0-1 <none>
2018-01-03 09:36:45 status unpacked gparted:amd64 0.18.0-1
2018-01-03 09:36:45 status half-configured gparted:amd64 0.18.0-1
2018-01-03 09:36:46 status installed gparted:amd64 0.18.0-1
2018-01-03 09:36:46 trigproc libc-bin:amd64 2.19-0ubuntu6.13 <none>
2018-01-03 09:36:46 status half-configured libc-bin:amd64 2.19-0ubuntu6.13
2018-01-03 09:36:46 status installed libc-bin:amd64 2.19-0ubuntu6.13
2018-01-04 14:00:09 startup archives unpack
2018-01-04 14:00:18 install libodbc1:amd64 <none> 2.2.14p2-5ubuntu5
2018-01-04 14:00:18 status half-installed libodbc1:amd64 2.2.14p2-5ubuntu5
2018-01-04 14:00:18 status unpacked libodbc1:amd64 2.2.14p2-5ubuntu5
2018-01-04 14:00:18 status unpacked libodbc1:amd64 2.2.14p2-5ubuntu5
2018-01-04 14:00:18 install libtinyxml2.6.2:amd64 <none> 2.6.2-2
2018-01-04 14:00:18 status half-installed libtinyxml2.6.2:amd64 2.6.2-2
2018-01-04 14:00:18 status unpacked libtinyxml2.6.2:amd64 2.6.2-2
2018-01-04 14:00:18 status unpacked libtinyxml2.6.2:amd64 2.6.2-2
2018-01-04 14:00:18 install libvsqlitepp3:amd64 <none> 0.3.12-1ubuntu1
2018-01-04 14:00:18 status half-installed libvsqlitepp3:amd64 0.3.12-1ubuntu1
2018-01-04 14:00:18 status unpacked libvsqlitepp3:amd64 0.3.12-1ubuntu1
2018-01-04 14:00:18 status unpacked libvsqlitepp3:amd64 0.3.12-1ubuntu1
2018-01-04 14:00:18 install libctemplate2:amd64 <none> 2.2-4ubuntu3
2018-01-04 14:00:18 status half-installed libctemplate2:amd64 2.2-4ubuntu3
2018-01-04 14:00:18 status unpacked libctemplate2:amd64 2.2-4ubuntu3
2018-01-04 14:00:18 status unpacked libctemplate2:amd64 2.2-4ubuntu3
2018-01-04 14:00:18 install libdbi-perl:amd64 <none> 1.630-1
2018-01-04 14:00:18 status half-installed libdbi-perl:amd64 1.630-1
2018-01-04 14:00:18 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2018-01-04 14:00:18 status unpacked libdbi-perl:amd64 1.630-1
2018-01-04 14:00:18 status unpacked libdbi-perl:amd64 1.630-1
2018-01-04 14:00:18 install libdbd-mysql-perl:amd64 <none> 4.025-1ubuntu0.1
2018-01-04 14:00:18 status half-installed libdbd-mysql-perl:amd64 4.025-1ubuntu0.1
2018-01-04 14:00:18 status unpacked libdbd-mysql-perl:amd64 4.025-1ubuntu0.1
2018-01-04 14:00:18 status unpacked libdbd-mysql-perl:amd64 4.025-1ubuntu0.1
2018-01-04 14:00:19 install libmysqlcppconn7:amd64 <none> 1.1.3-5
2018-01-04 14:00:19 status half-installed libmysqlcppconn7:amd64 1.1.3-5
2018-01-04 14:00:19 status unpacked libmysqlcppconn7:amd64 1.1.3-5
2018-01-04 14:00:19 status unpacked libmysqlcppconn7:amd64 1.1.3-5
2018-01-04 14:00:19 install libterm-readkey-perl:amd64 <none> 2.31-1
2018-01-04 14:00:19 status half-installed libterm-readkey-perl:amd64 2.31-1
2018-01-04 14:00:19 status unpacked libterm-readkey-perl:amd64 2.31-1
2018-01-04 14:00:19 status unpacked libterm-readkey-perl:amd64 2.31-1
2018-01-04 14:00:19 install libzip2:amd64 <none> 0.10.1-1.2
2018-01-04 14:00:19 status half-installed libzip2:amd64 0.10.1-1.2
2018-01-04 14:00:19 status unpacked libzip2:amd64 0.10.1-1.2
2018-01-04 14:00:19 status unpacked libzip2:amd64 0.10.1-1.2
